epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.062234,0.231812,1.902572,0.3125,0.0007,114.7848
2,1.783,0.332533,1.858613,0.32598,0.0007,115.8774
3,1.653103,0.375194,1.682226,0.390931,0.0007,119.286
4,1.551093,0.413476,1.577488,0.444853,0.0007,131.145
5,1.468453,0.449357,1.515057,0.458333,0.0007,114.6187
6,1.410517,0.474502,1.460432,0.458333,0.0007,116.1172
7,1.362721,0.501625,1.374403,0.487745,0.0007,146.9988
8,1.284135,0.531148,1.361728,0.506127,0.0007,133.4006
9,1.254126,0.547817,1.394817,0.491422,0.0007,131.875
10,1.190987,0.57268,1.161833,0.623775,0.0007,135.6701
11,1.16208,0.579037,1.262157,0.573529,0.0007,136.0968
12,1.124959,0.600085,1.159081,0.626225,0.0007,130.8277
13,1.078858,0.619438,1.296277,0.557598,0.0007,128.1723
14,1.050544,0.630315,1.26286,0.58701,0.0007,138.0898
15,1.017015,0.638791,1.21532,0.625,0.00035,135.0189
16,0.938447,0.673683,1.201697,0.627451,0.00035,136.9821
17,0.93187,0.669586,1.122727,0.645833,0.00035,140.6011
18,0.916725,0.682724,1.168782,0.623775,0.00035,132.5095
19,0.905619,0.686396,1.095637,0.644608,0.00035,136.4997
20,0.878633,0.695296,1.170215,0.622549,0.00035,138.2551
21,0.879182,0.694448,1.127625,0.643382,0.00035,137.8668
22,0.87059,0.69346,1.120789,0.64951,0.000175,141.0646
23,0.819814,0.710129,1.078558,0.660539,0.000175,136.3735
24,0.818875,0.712247,1.118539,0.656863,0.000175,135.282
25,0.806903,0.723266,1.113112,0.665441,0.000175,159.7518
