epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.002108,0.250318,1.919191,0.323529,0.001,133.5344
2,1.692995,0.356124,1.72438,0.387255,0.001,126.8331
3,1.520849,0.437774,1.558102,0.474265,0.001,136.0428
4,1.405983,0.477892,1.548173,0.481618,0.001,134.8384
5,1.313628,0.518435,1.285838,0.544118,0.001,134.1359
6,1.234078,0.54697,1.304142,0.572304,0.001,121.1872
7,1.160181,0.575364,1.280159,0.572304,0.001,124.4544
8,1.120179,0.594434,1.268732,0.594363,0.001,128.6986
9,1.061134,0.617036,1.196424,0.579657,0.001,121.1331
10,1.038441,0.633282,1.149592,0.643382,0.001,120.7122
11,0.997693,0.647832,1.156481,0.627451,0.001,120.1692
12,0.958365,0.656025,1.067974,0.640931,0.001,132.5954
13,0.933301,0.67566,1.052943,0.671569,0.001,128.716
14,0.898466,0.684277,1.071555,0.707108,0.001,120.7924
15,0.871868,0.689363,1.079691,0.645833,0.001,121.0983
16,0.845337,0.701512,1.021384,0.676471,0.001,128.2671
17,0.820497,0.711117,1.033494,0.6875,0.001,136.1951
18,0.810555,0.71253,1.018174,0.664216,0.001,124.4865
19,0.771228,0.732166,1.023058,0.713235,0.001,127.8048
20,0.75439,0.735838,1.072558,0.681373,0.001,120.5301
21,0.737583,0.749117,1.045849,0.672794,0.0005,121.7642
22,0.703718,0.75618,0.99951,0.735294,0.0005,121.0864
23,0.671235,0.768046,1.040296,0.705882,0.0005,120.1876
24,0.653091,0.776663,0.96795,0.742647,0.0005,119.7368
25,0.644732,0.779347,1.024252,0.726716,0.0005,116.0716
